Time,Q1,Q2,Q3,Q4,Q5,Q6,dQ1,dQ2,dQ3,dQ4,dQ5,dQ6,TCPx,TCPy,TCPz
8.9,-1.94277884622659,-1.94418145737371,-1.38360101212149,-0.891128114095918,1.75354334623921,-0.32583338363436,-0.0491501972864514,0.322327243643403,-0.542637515333812,0.21231046207075,0.0232816475918177,-0.0440187690758289,0.375041624024434,0.719058329381543,0.226212526266137
8.92,-1.94376733881157,-1.93774803785195,-1.39441590739553,-0.886907744668689,1.75401151328893,-0.326718756727594,-0.0497579468116127,0.321123469909364,-0.539021790983236,0.209777964145237,0.0235633653633476,-0.0445717707632499,0.374533291413333,0.716066662811574,0.225500025587173
8.94,-1.94476516998363,-1.93134330231161,-1.40515155959074,-0.882739887101956,1.75448398090591,-0.327612667721931,-0.0498916465750442,0.31912205266607,-0.534195151584985,0.206909012541201,0.0236194188850552,-0.0446990070559063,0.374024958787079,0.713074996246141,0.224787524905312
8.96,-1.94577245056907,-1.92496633799754,-1.41580963227877,-0.878623844221303,1.7549607553317,-0.328515183233381,-0.0511657030923803,0.319157406542514,-0.532509936342708,0.204956099323825,0.0242144621567958,-0.0458483306259892,0.37351662619642,0.710083329675524,0.224075024217834
8.98,-1.94678932569383,-1.91861625257719,-1.42639175697851,-0.874558894691522,1.7554419349514,-0.32942646644588,-0.0493854921926186,0.313865327734122,-0.522655991709863,0.200665029590695,0.0233654747985642,-0.0442610963652553,0.373008293541063,0.707091663108597,0.22336252355619
9,-1.94774771757405,-1.91241119648532,-1.43671706397826,-0.870596549569395,1.75589529592638,-0.330285480987239,-0.0475840078175546,0.308650485277609,-0.512975299453192,0.196474186054071,0.0225056692583195,-0.0426535937832631,0.372499960805755,0.704099996541403,0.222650022945899
9.02,-1.94871513741771,-1.90623028462196,-1.44697237919128,-0.866681955534219,1.75635279151539,-0.331152738289158,-0.0488327562519703,0.308869332340619,-0.511677413556893,0.19473113639319,0.0230899666542465,-0.0437806246918204,0.37199162795168,0.701108329966335,0.221937522427017
9.04,-1.94969170735322,-1.90007274656974,-1.45715907124946,-0.862814543597307,1.75681447985392,-0.332028351135042,-0.0489588271312243,0.307127148181324,-0.507367037386676,0.19212035477291,0.0231424295369852,-0.0439013158037246,0.371483294830189,0.698116663395518,0.221225022067699
9.06,-1.95067754903939,-1.89393783971633,-1.46727844960901,-0.858993784115736,1.75728040486644,-0.332912429873574,-0.0495691708226135,0.306268271998761,-0.504425291318141,0.189914481117791,0.0234234549441545,-0.0444562511421951,0.370974961341015,0.695124996825504,0.220512521941785
9.08,-1.95167279224217,-1.887824842052,-1.477331781233,-0.855219163981221,1.7577506271888,-0.333805097006936,-0.0499810188261932,0.305080894332683,-0.500985264250323,0.187571286894693,0.0236112129786501,-0.0448337574500184,0.370466627333913,0.692133330257709,0.219800022146009
9.1,-1.95267757437399,-1.88173305161005,-1.48732029162926,-0.851490187360723,1.75822522231248,-0.334706484993975,-0.0504874360134672,0.304085157718097,-0.497846585226651,0.18532151006884,0.0238433381012959,-0.0452962512671176,0.369958292605586,0.689141663700411,0.219087522807699
9.12,-1.9536920160335,-1.87566178827452,-1.49724514687889,-0.847806414672741,1.75870421693587,-0.335616699450198,-0.0509626592918376,0.303054492711539,-0.494660689999854,0.183063057998851,0.0240587801933891,-0.0457305096155666,0.369449995645931,0.686149999192685,0.218375001878369
9.14,-1.95471625055733,-1.86961038961781,-1.50710747979332,-0.844167412599185,1.75918766508228,-0.336535863773961,-0.0514592795551157,0.302088223807389,-0.491576934391698,0.180839037464138,0.0242858292461752,-0.046184804662373,0.368941662829718,0.683158332482371,0.217662501437108
9.16,-1.95575038409921,-1.86357816046761,-1.51690841798574,-0.840572760933396,1.7596756510913,-0.337464091576534,-0.0519572860218873,0.301140043745381,-0.488527284191327,0.178630315126666,0.024513843200635,-0.0466407460600897,0.368433329960507,0.680166665749208,0.216950000993732
9.18,-1.95679464593594,-1.85756457295265,-1.52664896828992,-0.83702204632621,1.76016825178497,-0.338401584894674,-0.0524695899727889,0.300223304715776,-0.485535348221703,0.17644392301516,0.0247464800954523,-0.0471092844566542,0.367924997016536,0.677174998993365,0.216237500557562
9.2,-1.95784917278908,-1.85156900824905,-1.53633015495531,-0.833514900428743,1.76066552601056,-0.339348471980539,-0.0529834909530495,0.29933954773545,-0.482592466006567,0.17427341460527,0.0249815510890079,-0.0475798676881308,0.367416663413022,0.674183332683541,0.215525001204991
9.22,-1.95891402785641,-1.84559078003887,-1.54595300166497,-0.830051001439544,1.76116752390108,-0.340304818943257,-0.0535036303284874,0.298487227581164,-0.479699469658845,0.17211912204241,0.0252182357813645,-0.0480562660807347,0.366908330293167,0.671191665920935,0.214812500837918
9.24,-1.95998938403318,-1.83962935102597,-1.55551843097877,-0.826630025148338,1.76167427858632,-0.341270781424799,-0.0540333679122866,0.297660610864867,-0.47685138035938,0.169981312352471,0.0254583361574789,-0.0485412560750795,0.366399996973878,0.668199999381306,0.21410000093363
9.26,-1.96107540016853,-1.83368415034605,-1.56502736837546,-0.823251649888774,1.7621858839966,-0.342246508236257,-0.0545691462649742,0.296864260692105,-0.474049728828827,0.167858431657993,0.0257023822205682,-0.0490323824182322,0.366399996973878,0.668199999381306,0.21410000093363
